Duration (in seconds),Finished,condition,teamID,participantID,pre1,pre2,report1,report2,report3,report4,report5,report6,report7,tRoll1,tRoll2,tRoll3,tRoll4,tRoll5,tRoll6,tRoll7,diff1,diff2,diff3,diff4,diff5,diff6,diff7,avgcheat,competent,goodjob,performance,ability,effort,power,leadercheat,gender,age,race,schoolyear,Roll-1A,Roll-1B,Roll-2A,Roll-2B,Roll-3A,Roll-3B,Roll-4A,Roll-4B,Roll-5A,Roll-5B,Roll-6A,Roll-6B,Roll-7A,Roll-7B
1095,TRUE,1,1,101,"Analytical Abilities,Compassion,Confidence","Collaboration,Communication,Flexibility",5,5,11,11,4,11,7,5,5,11,11,4,11,7,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Agree,Slightly Agree,No,Male,30,Asian,Graduate,2,3,2,3,6,5,5,6,2,2,6,5,3,4
1357,TRUE,1,1,104,"Competency,Presentation Skills,Confidence","Collaboration,Communication,Open Mindedness",5,9,5,6,6,7,7,5,9,5,6,6,7,7,0,0,0,0,0,0,0,0,Slightly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Agree,Agree,No,Female,22,Asian,Graduate,4,1,5,4,4,1,5,1,1,5,3,4,2,5
1189,TRUE,1,1,103,"Competency,Analytical Abilities,Good Intuition","Communication,Flexibility,Accountability",10,7,5,9,5,7,7,10,7,5,9,5,7,7,0,0,0,0,0,0,0,0,Agree,Agree,Strongly Agree,Disagree,Disagree,Slightly Agree,No,Female,18,Asian,Freshman,6,4,2,5,2,3,5,4,2,3,1,6,1,6
1464,TRUE,2,2,105,"Good Intuition,Confidence,Ambition","Communication,Accountability,Competency",5,7,6,4,6,8,8,5,7,6,4,6,8,8,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Slightly Agree,Strongly Disagree,Disagree,No,Male,19,Caucasian,Sophomore,4,1,3,4,2,4,2,2,3,3,5,3,3,5
1157,TRUE,2,2,107,"Competency,Compassion,Good Intuition","Collaboration,Communication,Competency",3,8,10,7,6,7,6,3,8,10,7,6,7,6,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Agree,Agree,Agree,No,Female,21,Caucasian,Senior,2,1,5,3,6,4,3,4,2,4,2,5,5,1
1503,TRUE,2,2,108,"Competency,Compassion,Good Intuition","Collaboration,Communication,Competency",9,6,4,8,9,6,4,9,6,4,8,9,6,4,0,0,0,0,0,0,0,0,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Yes,Male,33,Asian,Graduate,6,3,3,3,3,1,3,5,6,3,3,3,1,3
750,TRUE,3,3,110,"Compassion,Good Intuition,Confidence","Collaboration,Communication,Accountability",6,12,5,5,8,10,4,6,12,5,5,8,10,4,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Agree,No,Female,18,Asian,Sophomore,4,2,6,6,2,3,2,3,3,5,5,5,3,1
1076,TRUE,3,3,109,"Competency,Compassion,Ambition","Collaboration,Communication,Competency",11,4,7,7,4,6,8,11,4,7,7,4,6,8,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,No,Female,18,Asian,Freshman,5,6,2,2,2,5,4,3,2,2,5,1,2,6
1089,TRUE,3,3,112,"Analytical Abilities,Good Intuition,Ambition","Collaboration,Communication,Open Mindedness",7,11,2,6,6,5,3,7,11,2,6,6,5,3,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,No,Male,17,Caucasian,Other,2,5,6,5,1,1,5,1,5,1,4,1,2,1
1106,TRUE,1,4,116,"Competency,Presentation Skills,Confidence","Team Work,Collaboration,Communication",2,12,9,7,7,7,10,2,12,9,7,7,7,10,0,0,0,0,0,0,0,0,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,No,Female,18,African American,Freshman,1,1,6,6,6,3,5,2,3,4,1,6,6,4
